Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-23,PENOL,0,P1D
2013-01-23,PUNCHINA,0,P1D
2013-01-23,ALTOANCH,0,P1D
2013-01-23,URRA1,0,P1D
2013-01-23,AGREGADO_SIN,0,P1D
2013-01-22,PLAYAS,0,P1D
2013-01-22,FLORIDA2,0,P1D
2013-01-22,PORCE3,0,P1D
2013-01-22,MIEL1,0,P1D
2013-01-22,SANLOREN,0,P1D
2013-01-22,ALTOANCH,0,P1D
2013-01-22,PRADO,0,P1D
2013-01-22,PUNCHINA,0,P1D
2013-01-22,AGREGADO_SIN,0,P1D
2013-01-22,MIRAFLOR,0,P1D
2013-01-22,GUAVIO,0,P1D
2013-01-22,AGREGADO_BOGOTA,0,P1D
2013-01-22,TRONERAS,0,P1D
2013-01-22,URRA1,0,P1D
2013-01-22,MUNA,0,P1D
2013-01-22,PENOL,0,P1D
2013-01-22,SALVAJIN,0,P1D
2013-01-22,CALIMA1,0,P1D
2013-01-22,CHUZA,0,P1D
2013-01-22,RIOGRAN2,0,P1D
2013-01-22,ESMERALD,0,P1D
2013-01-21,CALIMA1,0,P1D
2013-01-21,AGREGADO_BOGOTA,0,P1D
2013-01-21,MIRAFLOR,0,P1D
2013-01-21,AGREGADO_SIN,0,P1D
2013-01-21,FLORIDA2,0,P1D
2013-01-21,URRA1,0,P1D
2013-01-21,ESMERALD,0,P1D
2013-01-21,ALTOANCH,0,P1D
2013-01-21,PORCE3,0,P1D
2013-01-21,MUNA,0,P1D
2013-01-21,PRADO,0,P1D
2013-01-21,PENOL,0,P1D
2013-01-21,SANLOREN,0,P1D
2013-01-21,PLAYAS,0,P1D
2013-01-21,TRONERAS,0,P1D
2013-01-21,RIOGRAN2,0,P1D
2013-01-21,MIEL1,0,P1D
2013-01-21,CHUZA,0,P1D
2013-01-21,GUAVIO,0,P1D
2013-01-21,PUNCHINA,0,P1D
2013-01-21,SALVAJIN,0,P1D
2013-01-20,PENOL,0,P1D
2013-01-20,MIRAFLOR,0,P1D
2013-01-20,PLAYAS,0,P1D
2013-01-20,URRA1,0,P1D
2013-01-20,SANLOREN,0,P1D
2013-01-20,ALTOANCH,0,P1D
2013-01-20,FLORIDA2,0,P1D
2013-01-20,SALVAJIN,0,P1D
2013-01-20,PORCE3,0,P1D
2013-01-20,PRADO,0,P1D
2013-01-20,MIEL1,0,P1D
2013-01-20,AGREGADO_BOGOTA,0,P1D
2013-01-20,MUNA,0,P1D
2013-01-20,CHUZA,0,P1D
2013-01-20,AGREGADO_SIN,0,P1D
2013-01-20,PUNCHINA,0,P1D
2013-01-20,GUAVIO,0,P1D
