codigo_embalse,region,volumen_util,capacidad_util,volumen_total,VertimientosEnergia,fecha,vertimientos,duracion,etiqueta
PLAYAS,Antioquia,84018400,98503023,121782200,0.0,2013-03-08,0.0,P1D,0
SANLOREN,Antioquia,173346000,450404774,231047600,0.0,2013-03-08,0.0,P1D,0
TRONERAS,Antioquia,6821900,63534822,35434800,0.0,2013-03-08,0.0,P1D,0
MUNA,Centro,49037500,56025812,50740900,0.0,2013-03-08,0.0,P1D,0
RIOGRAN2,Antioquia,73662500,492452807,243768200,0.0,2013-03-08,0.0,P1D,0
PLAYAS,Antioquia,73173100,98503023,110936900,0.0,2013-03-07,0.0,P1D,0
PENOL,Antioquia,2139707400,4109791052,2420201600,0.0,2013-03-07,0.0,P1D,0
BETANIA,Centro,113246200,140252238,199582200,0.0,2013-03-07,0.0,,0
URRA1,Caribe,84592700,192324924,131761400,0.0,2013-03-07,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2792668100,3992426064,2792668100,0.0,2013-03-06,0.0,P1D,0
SANLOREN,Antioquia,200534400,450404774,258236000,0.0,2013-03-06,0.0,P1D,0
TRONERAS,Antioquia,5353000,63534822,33966000,0.0,2013-03-05,0.0,P1D,0
URRA1,Caribe,86206300,192324924,133374900,0.0,2013-03-05,0.0,P1D,0
PENOL,Antioquia,2190931300,4109791052,2471425500,0.0,2013-03-04,0.0,P1D,0
CHUZA,Oriente,432554300,1044556840,490099300,0.0,2013-05-04,0.0,P1D,0
MIRAFLOR,Antioquia,30687300,304387239,46650600,0.0,2013-05-03,0.0,P1D,0
PUNCHINA,Antioquia,25240400,81086719,33286500,0.0,2013-05-03,0.0,P1D,0
CALIMA1,Valle,73914200,222285936,126625700,0.0,2013-05-03,0.0,P1D,0
BETANIA,Centro,92182000,140252238,178518100,0.0,2013-05-02,0.0,,0
GUAVIO,Oriente,440980100,2095258858,491430200,0.0,2013-05-01,0.0,P1D,0
PUNCHINA,Antioquia,39274000,81086719,47320100,0.0,2013-05-01,0.0,P1D,0
PENOL,Antioquia,1402061400,4109791052,1682555600,0.0,2013-04-30,0.0,P1D,0
PORCE3,Antioquia,26665600,108095201,51693400,0.0,2013-04-30,0.0,P1D,0
MUNA,Centro,48738300,56025812,50441600,0.0,2013-04-29,0.0,P1D,0
PENOL,Antioquia,1411024700,4109791052,1691518900,0.0,2013-04-29,0.0,P1D,0
ESMERALD,Oriente,131830700,1066299904,171999500,0.0,2013-04-29,0.0,P1D,0
AGREGADO_SIN,Colombia,5828231800,15169264945,6958597000,0.0,2013-04-28,0.0,P1D,0
MUNA,Centro,44558200,56025812,46261600,0.0,2013-04-28,0.0,P1D,0
PLAYAS,Antioquia,86985900,98503023,124749600,0.0,2013-04-28,0.0,P1D,0
CHUZA,Oriente,432554300,1044556840,490099300,0.0,2013-04-28,0.0,P1D,0
MIEL1,Caldas,61191200,235260926,87969900,0.0,2013-04-28,0.0,P1D,0
URRA1,Caribe,63229700,192324924,110398300,0.0,2013-04-28,0.0,P1D,0
PRADO,Centro,15091700,59469968,59530100,0.0,2013-04-27,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2591541400,3992426064,2591541400,0.0,2013-04-27,0.0,P1D,0
SALVAJIN,Valle,72231000,192899152,97771300,0.0,2013-04-27,0.0,P1D,0
ESMERALD,Oriente,114970700,1066299904,155139500,0.0,2013-04-27,0.0,P1D,0
URRA1,Caribe,62391300,192324924,109560000,0.0,2013-04-26,0.0,P1D,0
ESMERALD,Oriente,120584200,1066299904,160753000,0.0,2013-04-26,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2592388400,3992426064,2592388400,0.0,2013-04-26,0.0,P1D,0
SALVAJIN,Valle,69598600,192899152,95138900,0.0,2013-04-25,0.0,P1D,0
PUNCHINA,Antioquia,37087200,81086719,45133300,0.0,2013-04-24,0.0,P1D,0
SALVAJIN,Valle,68305900,192899152,93846300,0.0,2013-04-24,0.0,P1D,0
GUAVIO,Oriente,470247700,2095258858,520697700,0.0,2013-04-24,0.0,P1D,0
SANLOREN,Antioquia,88407500,445298182,145454900,0.0,2013-04-24,0.0,P1D,0
MIRAFLOR,Antioquia,18929800,304387239,34893200,0.0,2013-04-24,0.0,P1D,0
PLAYAS,Antioquia,60363200,98503023,98127000,0.0,2013-04-23,0.0,P1D,0
MIEL1,Caldas,58560900,235260926,85339600,0.0,2013-04-22,0.0,P1D,0
ALTOANCH,Valle,18052100,35110192,25795700,0.0,2013-04-22,0.0,P1D,0
PUNCHINA,Antioquia,53716000,81086719,61762100,0.0,2013-04-22,0.0,P1D,0
MUNA,Centro,28823100,56025812,30526500,0.0,2013-04-21,0.0,P1D,0
SALVAJIN,Valle,61748500,192899152,87288900,0.0,2013-04-21,0.0,P1D,0
PENOL,Antioquia,1510121500,4109791052,1790615700,0.0,2013-04-20,0.0,P1D,0
BETANIA,Centro,85785200,140252238,172121300,0.0,2013-04-20,0.0,,0
MIEL1,Caldas,53743400,235260926,80522100,0.0,2013-04-19,0.0,P1D,0
URRA1,Caribe,62185100,192324924,109353700,0.0,2013-04-19,0.0,P1D,0
PLAYAS,Antioquia,63211200,98503023,100974900,0.0,2013-04-19,0.0,P1D,0
MIEL1,Caldas,50976700,235260926,77755400,0.0,2013-04-18,0.0,P1D,0
AGREGADO_SIN,Colombia,5776672600,15169264945,6907038200,0.0,2013-04-18,0.0,P1D,0
ESMERALD,Oriente,123206400,1066299904,163375300,0.0,2013-04-17,0.0,P1D,0
SANLOREN,Antioquia,71733400,445298182,128780700,0.0,2013-04-17,0.0,P1D,0
PUNCHINA,Antioquia,30290600,81086719,38336800,0.0,2013-04-17,0.0,P1D,0
PORCE2,Antioquia,24871100,133945086,91590500,0.0,2013-04-17,0.0,,0
GUAVIO,Oriente,434746100,2095258858,485196200,0.0,2013-04-15,0.0,P1D,0
MUNA,Centro,31833900,56025812,33537200,0.0,2013-04-15,0.0,P1D,0
BETANIA,Centro,76249300,140252238,162585300,0.0,2013-04-15,0.0,,0
MIRAFLOR,Antioquia,16422200,304387239,32385600,0.0,2013-04-15,0.0,P1D,0
TRONERAS,Antioquia,3536800,63534822,32149800,0.0,2013-04-15,0.0,P1D,0
GUAVIO,Oriente,410083200,2095258858,460533200,0.0,2013-04-14,0.0,P1D,0
SANLOREN,Antioquia,80932000,445298182,137979300,0.0,2013-04-14,0.0,P1D,0
SANLOREN,Antioquia,82946700,445298182,139994000,0.0,2013-04-13,0.0,P1D,0
PRADO,Centro,9893000,59469968,54331400,0.0,2013-04-13,0.0,P1D,0
SANLOREN,Antioquia,89494400,445298182,146541800,0.0,2013-04-12,0.0,P1D,0
RIOGRAN2,Antioquia,60603500,492452807,230709300,0.0,2013-04-12,0.0,P1D,0
PENOL,Antioquia,1656435600,4109791052,1936929800,0.0,2013-04-11,0.0,P1D,0
CHUZA,Oriente,384584700,1044556840,442129700,0.0,2013-04-11,0.0,P1D,0
MIEL1,Caldas,65250000,235260926,92028700,0.0,2013-04-11,0.0,P1D,0
MIRAFLOR,Antioquia,19210200,304387239,35173600,0.0,2013-04-10,0.0,P1D,0
BETANIA,Centro,83493200,140252238,169829200,0.0,2013-04-10,0.0,,0
PORCE3,Antioquia,37541700,108095201,62569500,0.0,2013-04-09,0.0,P1D,0
